																																																																																																																																																																																																																																																																																																							
	Fermentation and harvest conditions of Lactobacillus delbrueckii subsp. bulgaricus CFL1																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																							
	Fermentation conditions																																																																																																																																																																																																																																																																																																						
	A	42C, pH 5.8																																																																																																																																																																																																																																																																																																					
	B	42C, pH 4.8																																																																																																																																																																																																																																																																																																					
	C	37C, pH 5.8																																																																																																																																																																																																																																																																																																					
	D	37C, pH 4.8																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																							
	Biological replicate = biologically distinct samples produced by independent fermentations																																																																																																																																																																																																																																																																																																						
	1	first biological replicate																																																																																																																																																																																																																																																																																																					
	2	second biological replicate																																																																																																																																																																																																																																																																																																					
	3	third biological replicate																																																																																																																																																																																																																																																																																																					
	4	fourth biological replicate																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																							
	Harvest times for functional properties measurements (culturability and acidifying activity): th1, th2 and th3																																																																																																																																																																																																																																																																																																						
	th1	time of harvest 1 = at the mid-exponential growth phase																																																																																																																																																																																																																																																																																																					
	th2	time of harvest 2 = at the deceleration growth phase																																																																																																																																																																																																																																																																																																					
	th3	time of harvest 3 = at the stationary growth phase																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																							
	a_th	additional harvest times for measurements carried out throughout fermentation (OD, gluc, LA, DCW)																																																																																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																							
	Technical repetition: different measurements on the same sample																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																							
	t: time (h);  0 h = inoculation of the bioreactor 																																																																																																																																																																																																																																																																																																						
	T: temperature in degrees Celcius (C) 																																																																																																																																																																																																																																																																																																						
	u_pH: units of pH																																																																																																																																																																																																																																																																																																						
	OD: optical density measured continously at 880 nm and after sampling at 600 nm																																																																																																																																																																																																																																																																																																						
	NaOH:  mL of a 4.25 M (mol/L) NaOH solution added into the bioreactor by a peristaltic pump during the fermentation to maintain the pH at the set value																																																																																																																																																																																																																																																																																																						
	The density of the NaOH solution at 4.25 M is 1.2192 g/mL (measurement carried out using a pycnometer).																																																																																																																																																																																																																																																																																																						
	gluc: glucose concentration (g/L) measured by HPLC after sampling																																																																																																																																																																																																																																																																																																						
	LA: lactic acid concentration (g/L) measured by HPLC after sampling																																																																																																																																																																																																																																																																																																						
	DCW: dry cell weight concentration (g/L) measured after sampling; drying conditions: 80 degrees Celsius for 24 h																																																																																																																																																																																																																																																																																																						
	NA: Not available data																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																							
																																																																																																																																																																																																																																																																																																							
	DATA ORGANIZATION 																																																																																																																																																																																																																																																																																																						
	Each fermentation condition: A, B, C, and D with its respective biological replicate (1, 2 or 3) is organized in columns.																																																																																																																																																																																																																																																																																																						
	Each fermentation condition has at least three biological replicates.																																																																																																																																																																																																																																																																																																						
	The data per fermentation condition and biological replicate are organized as follows: 																																																																																																																																																																																																																																																																																																						
	(i) First columns contain the data acquisition of fermentation parameters (T, pH, OD at 880 nm, and NaOH addition) throughout the bacterial growth.																																																																																																																																																																																																																																																																																																						
	(ii) The following columns contain the measurements that were carried out after sampling (a_th) and harvesting (th1, th2, and th3) from the bioreactor: OD at 600 nm, DCW, gluc, LA.																																																																																																																																																																																																																																																																																																						
																																																																																																																																																																																																																																																																																																							
	The data organization is summarized here below:																																																																																																																																																																																																																																																																																																						
	A_1	A_2	A_3	A_4		B_1	B_2	B_3		C_1	C_2	C_3	C_4		D_1	D_2	D_3																																																																																																																																																																																																																																																																																						
	A_: columns B to CE					B_: columns CI to EQ				C_: columns EU to HY					D_: columns IC to KI																																																																																																																																																																																																																																																																																								
																																																																																																																																																																																																																																																																																																							
	Code example:		fermentation condition_biological replicate																																																																																																																																																																																													C_3	37C, pH 5.8_third biological replicate																																																																																																						
	A_1:		42C, pH5.8_first biological replicate																			A_2	42C, pH 5.8_second biological replicate																				A_3	42C, pH 5.8_third biological replicate																				A_4	42C, pH 5.8_fourth biological replicate																					B_1	42C, pH 4.8_first biological replicate																				B_2	42C, pH 4.8_second biological replicate																				B_3	42C, pH 4.8_third biological replicate																					C_1	37C, pH 5.8_first biological replicate																				C_2	37C, pH 5.8_second biological replicate																				Only for this fermentation condition and biological replicate, the NaOH solution addition was monitored by the weight loss the NaOH solution consumption. 																						C_4	37C, pH 5.8_fourth biological replicate																					D_1	37C, pH 4.8_first biological replicate																				D_2	37C, pH 4.8_second biological replicate																			D_3	37C, pH 4.8_third biological replicate																	
																																																																																																																																																																																																The NaOH solution was placed on an analytical balance, monitoring its weight every two minutes during the growth (Balance software, INRAE, Thiverval-Grignon, France).																																																																																																							
																																																																																																																																																																																																To convert the units of grams to mL, we divided the mass in grams of NaOH solution at 4.25 M by its density (1.2192 g/mL). This density was measured by a pycnometer.																																																																																																							
	A_1	A_1	A_1	A_1	A_1		A_1	A_1	A_1	A_1		A_1	A_1	A_1		A_1	A_1	A_1	A_1			A_2	A_2	A_2	A_2	A_2		A_2	A_2	A_2	A_2		A_2	A_2	A_2		A_2	A_2	A_2	A_2			A_3	A_3	A_3	A_3	A_3		A_3	A_3	A_3	A_3		A_3	A_3	A_3		A_3	A_3	A_3	A_3			A_4	A_4	A_4	A_4	A_4		A_4	A_4	A_4	A_4		A_4	A_4	A_4		A_4	A_4	A_4	A_4				B_1	B_1	B_1	B_1	B_1		B_1	B_1	B_1	B_1		B_1	B_1	B_1		B_1	B_1	B_1	B_1			B_2	B_2	B_2	B_2	B_2		B_2	B_2	B_2	B_2		B_2	B_2	B_2		B_2	B_2	B_2	B_2			B_3	B_3	B_3	B_3	B_3		B_3	B_3	B_3	B_3		B_3	B_3	B_3		B_3	B_3	B_3	B_3				C_1	C_1	C_1	C_1	C_1		C_1	C_1	C_1	C_1		C_1	C_1	C_1		C_1	C_1	C_1	C_1			C_2	C_2	C_2	C_2	C_2		C_2	C_2	C_2	C_2		C_2	C_2	C_2		C_2	C_2	C_2	C_2			C_3	C_3	C_3	C_3	C_3	C_3		C_3	C_3	C_3	C_3		C_3	C_3	C_3		C_3	C_3	C_3	C_3			C_4	C_4	C_4	C_4	C_4		C_4	C_4	C_4	C_4		C_4	C_4	C_4		C_4	C_4	C_4	C_4				D_1	D_1	D_1	D_1	D_1		D_1	D_1	D_1	D_1		D_1	D_1	D_1		D_1	D_1	D_1	D_1			D_2	D_2	D_2	D_2	D_2		D_2	D_2	D_2	D_2		D_2	D_2	D_2		D_2	D_2	D_2			D_3	D_3	D_3	D_3	D_3		D_3	D_3	D_3	D_3		D_3	D_3	D_3		D_3	D_3	D_3	
	time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA				time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA				time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time for T, pH, and OD at 880nm	T 	pH 	OD 	time for NaOH addition	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA				time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	Technical 	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	gluc	LA			time	T 	pH 	OD 	NaOH 		Harvest	Technical 	time	OD 		Harvest	Technical 	DCW		Harvest	gluc	LA	
	(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition 	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)				(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)				(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(h)	mL		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)				(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	repetition  	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	(g/L)	(g/L)			(h)	(C)	(u_pH)	at 880 nm	(mL)		time	repetition  	(h)	at 600 nm		time	repetition  	(g/L)		time	(g/L)	(g/L)	
	0.00	41.60	5.8	0.031	0.00		a_th	1	9.8	1.26		a_th	1	4.02		th1	1	31.03	8.42			0.00	41.40	5.7	0.036	0.00		a_th	1	10.1	1.50		th1	1	4.49		th1	1	26.07	7.36			0.00	42.4	5.9	0.031	0.00		a_th	1	9.4	1.50		th1	1	4.49		th1	1	33.08	7.84			0.00	41.6	5.8	0.000	NA		th1	1	12.7	2.63		th1	1	4.84		th1	1	27.62	10.34				0.00	41.6	4.84	0.000	0.00		th1	1	12.5	2.3		th1	1	3.94		th1	1	31.79	5.13			0.00	41.5	4.8	0.050	0.00		th1	1	12.5	2.3		th1	1	3.98		th1	1	32.46	5.29			0.00	41.5	4.79	0.032	0.08		th1	1	12.6	2.2		th1	1	3.90		th1	1	37.51	5.39				0.00	36.5	5.8	0.041	0.00		a_th	1	16.0	0.9		th1	1	4.83		th1	1	31.98	2.96			0.00	37.2	5.8	0.056	0.00		a_th	1	15.8	0.9		th1	1	4.33		th1	1	32.08	2.99			0.00	36.7	5.8	0.029	0.00	0.00		a_th	1	22.6	1.6		th1	1	3.01		th1	1	29.21	7.14			0.00	37.4	5.8	0.038	0.00		a_th	1	22.3	1.6		th1	1	4.15		th1	1	27.99	7.82				0.00	36.8	4.8	0.036	0.00		th1	1	17.0	1.1		th1	1	3.28		th1	1	36.52	2.93			0.00	37.0	4.83	0.037	0.00		th1	1	16.5	1.2		th1	1	3.51		th1	36.35	2.25			0.00	36.4	4.8	0.036	0.00		th1	1	18.8	1.0		th1	1	3.05		th1	36.15	2.98	
